age,gender,purchase_amount,tenure,churn
42,Male,1554368.71,42,0
58,Female,1799449.63,108,0
55,Female,1727157.3,60,0
49,Female,1476693.98,46,0
50,Male,1382437.9,18,0
54,Female,1503165.53,39,0
46,Female,1290863.31,1,1
66,Male,1465659.73,100,0
55,Male,1563486.51,29,0
22,Female,1573622.06,99,0
66,Female,1862544.73,56,0
29,Female,1438169.12,110,0
39,Male,1452627.91,72,0
65,Male,1249480.74,3,0
31,Female,2036034.24,79,0
43,Male,1418663.74,41,0
69,Female,1808660.65,113,0
19,Male,1428101.79,102,0
67,Female,1409656.99,94,0
53,Female,1865233.07,28,1
27,Male,1678595.58,11,0
36,Male,870916.69,90,1
22,Male,1524415.01,90,0
36,Male,1317889.22,10,0
47,Male,1662332.11,12,0
44,Female,1960093.78,15,0
45,Male,1362349.44,21,1
49,Male,1740714.02,38,0
42,Female,1305418.68,101,0
65,Female,1129295.18,118,1
21,Male,1386914.88,46,0
56,Male,1682901.29,84,0
35,Female,1394960.56,40,0
21,Male,1708940.74,42,0
50,Male,1588622.22,78,0
38,Female,1667043.19,115,0
38,Male,1736462.62,117,0
43,Female,1392201.58,52,1
37,Female,1656077.27,118,0
33,Male,1382104.87,32,0
30,Male,1773161.97,65,1
51,Male,1252620.77,10,0
30,Female,1402563.46,41,1
54,Male,1533186.78,108,0
44,Female,1592650.1,63,0
29,Male,1753503.55,16,0
26,Male,1686748.78,13,0
20,Female,1617742.18,102,0
45,Male,1717995.91,86,0
19,Female,1416822.92,96,0
29,Female,1613908.55,25,0
68,Male,1519276.14,118,0
48,Male,1694158.64,5,0
43,Female,1427810.14,49,0
40,Male,1639273.83,21,0
42,Female,1293439.31,66,1
21,Female,1713708.68,40,0
54,Male,1726538.49,7,0
38,Male,1055134.22,111,1
49,Male,1476414.55,31,0
57,Female,1459911.2,101,0
48,Female,1779987.57,32,0
63,Female,1727501.47,100,0
18,Female,1739966.51,102,0
66,Male,1272411.15,17,1
66,Male,1424494.85,15,0
64,Female,1352122.28,86,0
55,Female,1735690.99,100,0
23,Male,1735531.78,64,1
31,Female,1611426.76,36,0
28,Female,1524483.7,59,0
32,Female,920824.11,98,1
36,Female,1186430.11,53,1
27,Female,1526799.22,17,0
27,Male,1402555.51,64,0
32,Male,1716606.9,96,0
58,Female,1655288.47,114,0
67,Male,1966234.07,114,0
25,Female,1444547.33,18,0
57,Male,1505392.86,9,0
27,Female,1448480.86,103,0
41,Female,1713333.75,112,0
67,Female,1182699.85,83,1
47,Female,1168229.75,57,1
51,Male,1654847.68,5,0
33,Female,1488510.06,114,0
19,Male,1263455.59,31,0
66,Male,1354352.45,42,0
65,Female,1397482.79,81,1
62,Male,1384631.7,11,0
41,Male,1719434.29,66,0
57,Female,1548075.73,17,0
59,Female,1495161.05,43,0
58,Female,1173469.72,56,1
28,Male,1998956.93,81,0
18,Male,1167690.86,17,1
66,Female,1456669.81,37,0
19,Male,1416453.38,48,0
36,Female,1213409.55,67,1
19,Female,1405030.16,106,0
56,Male,1480756.07,37,0
20,Male,1428544.34,34,0
63,Female,1384680.24,45,0
24,Male,1606816.62,2,0
50,Female,1705543.02,67,0
61,Female,1505023.31,49,0
44,Male,1765857.44,109,0
56,Male,1516103.69,111,0
25,Female,1354202.39,1,0
44,Female,1695106.52,14,0
37,Male,1804162.96,93,0
33,Male,1576279.0,42,0
42,Female,1499275.51,79,0
40,Female,1648322.87,62,0
68,Male,1730695.51,17,0
49,Male,1342328.44,46,0
41,Female,1455119.57,87,0
47,Female,1348891.77,90,0
20,Male,1652606.86,116,0
24,Female,1692002.26,70,1
65,Male,1362707.31,15,0
64,Male,1775034.95,84,0
29,Male,1495341.02,39,0
45,Male,1509422.51,51,0
63,Female,1167472.41,67,0
36,Female,1876471.93,62,0
47,Female,1654798.92,86,0
40,Female,1697008.71,71,0
44,Female,1701154.28,37,0
50,Female,1334844.68,22,1
58,Female,1600428.68,109,0
41,Male,1528310.6,52,0
63,Female,1704009.66,52,0
37,Female,1647948.82,108,0
60,Female,1346525.29,105,0
42,Male,1366359.03,44,0
63,Female,1370322.65,60,0
22,Female,1448852.9,70,0
57,Male,1531215.49,116,0
39,Male,1338025.18,101,1
30,Female,1284133.3,44,1
21,Female,1704836.52,69,1
38,Female,1390613.94,53,0
27,Female,1660536.81,2,0
51,Female,1612020.15,52,0
21,Male,1237454.96,98,0
56,Male,2043351.24,95,0
50,Male,1727949.3,113,0
49,Male,1072042.21,34,0
21,Male,1469071.24,43,0
63,Male,1359707.99,79,0
49,Male,1429144.52,119,0
45,Female,1527377.06,61,0
61,Male,1293865.72,118,0
40,Female,1502861.28,23,0
50,Male,1761675.67,68,0
48,Male,1630580.17,81,0
52,Female,1519418.62,105,0
30,Female,1495979.22,54,1
67,Male,1339760.19,90,0
61,Male,1884689.48,39,0
30,Female,1552348.86,25,0
51,Female,1587138.6,11,0
66,Male,1727084.96,14,1
21,Male,1610727.97,56,1
37,Male,1581376.84,24,0
40,Male,1403404.34,94,0
29,Male,1472198.31,90,0
41,Male,1739846.24,99,1
38,Male,1712878.0,79,1
19,Male,1489838.9,106,0
38,Male,1361663.66,30,0
66,Male,1410196.84,46,0
60,Female,1015201.57,51,1
28,Male,1618625.32,56,1
54,Female,1470339.63,116,0
62,Male,1555774.17,105,0
61,Female,1326866.29,79,0
30,Female,1563799.13,50,0
69,Female,1451331.87,4,1
21,Male,1190446.82,106,0
67,Female,1722811.57,6,0
52,Male,1418016.24,2,1
20,Female,1526285.4,5,1
59,Female,1669446.0,110,0
54,Female,1615556.23,101,0
61,Male,1442527.6,9,0
44,Female,1430912.83,43,0
20,Female,1798932.05,100,0
54,Female,1516126.02,82,0
22,Female,1360702.98,9,1
34,Male,1377714.94,58,0
41,Male,1289455.5,18,1
54,Male,1321682.16,31,1
54,Female,1487068.35,33,0
53,Male,1562533.5,105,0
45,Female,1591596.05,95,1
58,Male,1522720.31,43,0
42,Female,1640919.42,5,0
52,Female,1936806.93,28,0
46,Male,1571248.03,112,0
34,Male,1883433.0,71,0
58,Male,1488013.81,99,0
53,Male,1236062.45,44,1
59,Female,1257274.46,90,0
60,Male,1543450.9,29,0
55,Male,1578401.48,81,0
44,Male,1737867.17,113,0
42,Female,1664263.21,114,0
34,Female,1679515.06,40,0
39,Female,1633173.94,22,0
69,Female,1596437.73,46,0
60,Female,1377201.24,73,0
43,Male,1450882.07,56,0
28,Male,1480356.1,56,0
64,Male,1693574.17,38,0
35,Male,1348482.05,113,0
20,Female,1639662.05,83,0
31,Male,1344709.92,88,0
66,Male,1599277.53,59,0
57,Male,1561569.8,68,1
64,Female,1476029.46,117,0
59,Male,1439250.83,29,1
32,Female,1257245.26,90,1
33,Female,1691805.29,50,0
26,Female,1259090.88,8,1
59,Female,1289090.76,113,0
39,Male,1576312.54,37,0
43,Female,1298277.9,2,1
60,Female,1383877.32,23,0
22,Female,1101243.74,62,1
55,Male,1413367.83,66,0
51,Male,1621697.99,43,0
56,Male,1213194.7,59,0
18,Female,1864477.6,53,0
20,Male,1631052.94,108,0
59,Female,1569568.12,55,0
48,Female,1585679.46,109,0
38,Male,1697556.63,118,0
51,Male,1581170.2,67,0
43,Female,1322443.44,49,1
44,Female,1501876.33,81,0
34,Female,1338294.33,11,1
45,Male,1324066.51,100,0
31,Female,1722971.82,11,0
51,Female,1490999.73,111,0
67,Female,1480743.01,119,0
40,Male,1494324.79,59,0
49,Female,1406551.01,16,0
55,Male,1376639.6,36,1
51,Female,1485969.92,68,0
47,Male,1575908.44,91,0
45,Male,1158092.97,62,1
50,Female,1404772.61,83,0
25,Female,1733708.25,74,0
59,Female,1666351.58,93,0
35,Female,1241988.81,70,1
54,Male,1314733.05,48,0
28,Male,1567135.66,118,0
54,Male,1732323.01,25,0
25,Male,1610624.13,30,0
40,Female,1723011.23,47,0
29,Female,1887998.97,88,0
65,Female,976326.48,76,1
57,Female,1513083.65,79,0
35,Male,1346795.5,64,0
52,Male,1252963.29,31,0
67,Female,1533069.94,4,1
64,Female,1675494.2,18,0
63,Female,1769336.65,93,0
25,Male,1242532.7,79,1
38,Female,1633690.99,55,0
64,Male,1530699.6,60,0
56,Female,1583741.02,48,0
26,Female,1641978.24,106,0
34,Female,1190571.21,20,1
67,Female,1573700.01,106,0
65,Female,1517968.01,73,0
50,Female,1348712.86,24,1
63,Female,1981194.16,58,0
29,Male,1303238.94,6,1
19,Female,1177695.86,77,1
19,Female,1666028.29,1,1
60,Male,1586689.99,116,0
53,Female,1626544.96,70,0
32,Female,1448380.56,116,1
49,Female,1489869.7,67,0
44,Female,1526018.94,15,0
42,Male,1371066.12,105,0
19,Female,1497853.99,30,1
23,Female,1775077.25,94,0
64,Female,1395579.47,26,0
32,Male,1565688.1,65,0
31,Male,1529691.98,40,1
18,Female,1274019.58,13,1
45,Male,1648794.48,88,0
38,Female,1471367.63,77,1
38,Female,1167344.41,59,1
57,Male,1238779.28,72,1
66,Male,1446543.04,18,0
60,Male,1547722.24,117,0
42,Male,1760554.27,7,0
32,Male,1916508.18,95,0
52,Female,1491041.09,110,0
56,Male,1570514.49,56,0
41,Female,1649561.25,104,0
36,Male,1487292.05,64,0
25,Female,1308895.45,71,1
32,Female,1713403.67,57,0
26,Male,1648365.25,73,0
45,Female,1589070.1,58,0
54,Female,1348395.19,88,0
38,Female,1295387.21,58,1
38,Male,1480245.74,106,0
36,Female,1060151.17,108,1
32,Female,1284840.64,89,0
18,Female,1771226.59,72,0
60,Female,1982557.07,110,0
35,Female,1586646.85,11,0
54,Male,1699894.95,100,0
27,Female,1762547.08,73,0
29,Male,1662416.79,116,0
46,Male,1565561.91,71,0
44,Male,1531431.21,77,0
24,Male,1531209.63,117,0
41,Male,1599691.22,18,0
